@relation carbrands
@attribute brand {volvo,volkswagen,nissan,mazda,porsche,benz,toyota,jaguar,Ford,fiat,audi,honda,chevrolet,hyundai,jeep,chrysler,acura,BMW,tesla,subaru,cadillac,mitsubidshi,dodge}
@attribute count_words numeric
@attribute pos_words numeric
@attribute neg_words numeric
@attribute has_inverter numeric
@attribute count_intensifier numeric
@attribute que_count numeric
@attribute exc_count numeric
@attribute sentiment {positive,negative}

@data
volvo,13,1,3,1,0,0,0,negative
volvo,14,3,0,0,0,0,0,positive
volvo,13,2,0,0,0,0,1,positive
volvo,9,1,0,0,0,0,0,positive
volvo,9,1,1,1,0,0,0,positive
volvo,9,2,0,0,0,0,0,positive
volvo,5,1,0,0,0,0,0,positive
volvo,7,2,0,0,0,0,0,positive
volvo,12,3,0,0,0,0,1,positive
volvo,7,1,1,0,1,0,0,positive
volvo,8,1,0,0,1,0,0,positive
volvo,8,2,0,0,0,0,0,positive
volvo,7,1,0,0,1,0,0,positive
volvo,13,2,0,0,0,0,0,positive
volvo,7,1,0,0,0,0,0,positive
volvo,8,1,1,0,0,0,0,positive
volvo,10,1,0,0,0,0,0,positive
volvo,13,4,0,0,0,0,2,positive
volvo,13,2,0,0,0,0,0,positive
volvo,11,3,0,0,0,0,0,positive
volvo,9,1,0,0,0,0,0,positive
volvo,8,3,0,0,1,0,0,positive
volvo,11,2,0,0,1,0,0,positive
volvo,10,4,0,0,0,0,0,positive
volvo,10,1,0,0,0,0,1,positive
volvo,16,1,2,0,0,0,1,positive
volvo,14,1,1,0,0,0,2,positive
volvo,15,2,0,0,0,0,1,positive
volvo,7,1,0,0,0,0,1,positive
volvo,12,1,0,0,0,0,0,positive
volvo,10,0,1,0,0,0,0,positive
volvo,13,1,1,0,0,0,1,positive
volvo,11,3,0,0,1,0,0,positive
volvo,8,2,0,0,1,0,0,positive
volvo,13,1,0,0,0,0,0,positive
volvo,11,2,0,0,0,1,0,positive
volvo,8,2,0,0,0,0,0,positive
volvo,7,1,0,0,0,0,0,positive
volvo,10,1,0,0,0,0,0,positive
volvo,11,0,2,1,0,0,0,positive
volvo,13,1,0,0,0,0,1,positive
volvo,17,1,1,0,0,0,1,negative
volvo,7,2,0,0,0,0,1,positive
volvo,15,0,2,2,0,0,0,negative
volvo,7,2,0,0,0,0,0,positive
volvo,13,3,0,0,0,0,0,positive
volvo,11,4,0,0,0,0,0,positive
volvo,10,3,0,0,1,0,2,positive
volvo,6,1,0,0,0,0,1,positive
volvo,9,1,0,0,0,0,0,positive
volvo,8,0,1,1,0,0,0,negative
volvo,8,1,0,0,0,0,0,positive
volvo,14,0,2,0,0,0,0,negative
volvo,14,3,0,0,0,0,0,positive
volvo,11,2,1,0,0,0,0,positive
volvo,11,1,1,0,0,0,0,positive
volkswagen,10,1,0,0,0,0,0,positive
volkswagen,8,2,0,0,0,0,0,positive
volkswagen,9,1,0,0,0,0,0,positive
volkswagen,13,0,3,0,0,0,0,negative
volkswagen,6,0,1,0,0,0,0,negative
volkswagen,8,1,3,0,0,0,0,negative
volkswagen,10,1,0,0,0,0,1,positive
volkswagen,9,2,0,0,0,0,1,positive
volkswagen,8,2,0,0,0,0,1,positive
volkswagen,13,1,1,0,0,0,0,negative
volkswagen,8,2,0,0,0,0,0,positive
volkswagen,7,0,1,0,0,0,1,positive
volkswagen,6,1,0,0,0,0,1,positive
volkswagen,8,1,0,0,0,0,0,positive
volkswagen,10,0,1,0,0,0,0,negative
volkswagen,11,1,2,0,0,0,0,negative
